"","urlkey","timestamp","original","mimetype","statuscode","digest","length","snapshoturl"
"2","uk,gov)/guidance/altcourse-prison","20200608042500","https://www.gov.uk/guidance/altcourse-prison","text/html","200","LXYVHJWAWVIBXJ6E6ASJRCGF3IE33B3E","11456","https://web.archive.org/web/20200608042500/https://www.gov.uk/guidance/altcourse-prison"
"3","uk,gov)/guidance/altcourse-prison","20200716171145","https://www.gov.uk/guidance/altcourse-prison","text/html","200","R3TSU5MQMEMYSIS3NCRX7DHYNXHZXMHU","11841","https://web.archive.org/web/20200716171145/https://www.gov.uk/guidance/altcourse-prison"
"4","uk,gov)/guidance/altcourse-prison","20201014133751","https://www.gov.uk/guidance/altcourse-prison","text/html","200","4HK772YYWJ4DYQAMUJIRWK2LXZQTMRXB","13890","https://web.archive.org/web/20201014133751/https://www.gov.uk/guidance/altcourse-prison"
"5","uk,gov)/guidance/altcourse-prison","20201020085447","https://www.gov.uk/guidance/altcourse-prison","text/html","200","IQ5WHH2YOVJAFVPPMMG6FOTNLIMVRVBL","12186","https://web.archive.org/web/20201020085447/https://www.gov.uk/guidance/altcourse-prison"
"6","uk,gov)/guidance/altcourse-prison","20201026102536","https://www.gov.uk/guidance/altcourse-prison","text/html","200","JZJUULZO7LI4UVQEQGITKBMCHZ6CSDGR","14139","https://web.archive.org/web/20201026102536/https://www.gov.uk/guidance/altcourse-prison"
"7","uk,gov)/guidance/altcourse-prison","20201031082423","https://www.gov.uk/guidance/altcourse-prison","text/html","200","BHKWQR2KG6V7PVEWDV2BSBLAVPCH4ZLZ","12335","https://web.archive.org/web/20201031082423/https://www.gov.uk/guidance/altcourse-prison"
"8","uk,gov)/guidance/altcourse-prison","20201228082734","https://www.gov.uk/guidance/altcourse-prison","text/html","200","YNY3VPHXMIOUZ4Y6PGZZPYH5OW35EJXR","14798","https://web.archive.org/web/20201228082734/https://www.gov.uk/guidance/altcourse-prison"
"21","uk,gov)/guidance/ashfield-prison","20200608042449","https://www.gov.uk/guidance/ashfield-prison","text/html","200","QYWIA3GSXR3YEJ3SZYX64RR6X2OAOO6K","11816","https://web.archive.org/web/20200608042449/https://www.gov.uk/guidance/ashfield-prison"
"31","uk,gov)/guidance/ashfield-prison","20200613144556","https://www.gov.uk/guidance/ashfield-prison","text/html","200","UPQP6EXWXVTXSQQEVBEL4CTFV5NK6E6W","11761","https://web.archive.org/web/20200613144556/https://www.gov.uk/guidance/ashfield-prison"
"41","uk,gov)/guidance/ashfield-prison","20200804234055","https://www.gov.uk/guidance/ashfield-prison","text/html","200","452QUAYTD2MI66GOEW6Y3AJHSXDTBMJM","12023","https://web.archive.org/web/20200804234055/https://www.gov.uk/guidance/ashfield-prison"
